"estado","cidade","lat","lon"
AL,Major Isidoro,-9.52829425,-37.00181
AL,Mangabeiras (Arapiraca),-9.755588,-36.6639577
AL,Mar Vermelho,-9.46364775,-36.38555325
AL,Maragogi,-9.012569500000001,-35.22171045
AL,Maravilha,-17.9962625,-45.265360375
AL,Marechal Deodoro,-9.7106808,-35.894183500000004
AL,Maribondo,-9.578498499999998,-36.306480199999996
AL,Mata Grande,-9.1182202,-37.72939865
AL,Matriz de Camaragibe,-9.1262616,-35.56098885
AL,Messias,-9.497357749999999,-35.77012765
AL,Minador do Negrão,-9.314319650000002,-36.8557404
AL,Monteirópolis,-9.6040179,-37.2489339
AL,Moreira (Palmeira dos Índios),-9.406106,-36.6331433
AL,Munguba (Santana do Mundaú),-9.1397328,-36.1979764
AL,Murici,-9.29883055,-35.94005215
AL,Novo Lino,-8.9384547,-35.602953299999996
AL,Olho DÁgua Grande,-10.0600479,-36.8037754
AL,Olho DÁgua das Flores,-9.5337216,-37.294606
AL,Olho DÁgua de Cima (Arapiraca),-9.755588,-36.6639577
AL,Olho DÁgua do Casado,-9.5437451,-36.78386805
AL,Olivença,-9.5028218,-37.178866150000005
AL,Palmeira de Fora (Palmeira dos Índios),-9.406106,-36.6331433
AL,Palmeira dos Índios,-9.966694085157702,-37.33133697439703
AL,Pariconha,-12.695936833333334,-40.03153413333334
AL,Paripueira,-9.4641535,-35.55022305
AL,Passo de Camaragibe,-9.25221715,-35.47299975
AL,Pau DArco (Arapiraca),-9.755588,-36.6639577
AL,Pau Ferro (Arapiraca),-9.755588,-36.6639577
AL,Paulo Jacinto,-9.478069649999998,-36.5929567
AL,Penedo,-10.28446806,-36.539084939999995
AL,Peroba (Maragogi),-9.0058449,-35.21567005
AL,Piaçabuçu,-10.381905566666667,-36.382017
AL,Pilar,-8.91354012,-36.0053716
AL,Pindoba,-9.474966899999998,-36.2808257
AL,Piranhas,-14.389693020000001,-44.61483724
AL,Pontal de Coruripe (Coruripe),-10.13889085,-36.15635025
AL,Porto Calvo,-9.029497450000001,-35.4052248
AL,Porto Real do Colégio,-10.187337549999999,-36.79875365
AL,Porto de Pedras,-9.157223349999999,-35.35468325
